time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
8 years,A509226,Cat,domestic shorthair,orange,Jingles,Return to Owner,Neutered Male,Male,Yes,8,Cat,2006,5,6,True,tabby
8 years,A672668,Cat,domestic shorthair,,Jasmine,Adoption,Spayed Female,Female,Yes,8,Cat,2006,2,2,True,calico
4 months,A686752,Cat,domestic shorthair,white,,Adoption,Neutered Male,Male,Yes,4,Kitten,2014,4,8,True,
2 months,A690641,Cat,domestic shorthair,orange,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,11,True,tabby
8 years,A669371,Cat,domestic mediumhair,black,Mickey,Adoption,Neutered Male,Male,Yes,8,Cat,2005,9,1,True,
3 months,A663605,Cat,domestic shorthair,brown /white,*Joe,Return to Owner,Neutered Male,Male,Yes,3,Kitten,2013,6,10,True,tabby
7 months,A668633,Cat,domestic shorthair,brown,Sopi,Adoption,Spayed Female,Female,Yes,7,Cat,2013,5,12,True,tabby
4 months,A664440,Cat,domestic shorthair,,*Sunshine,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,8,1,True,tortie
7 months,A688153,Cat,domestic mediumhair,blue/white,,Transfer,Spayed Female,Female,Yes,7,Cat,2014,2,9,True,
7 months,A671555,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,7,Cat,2013,6,1,True,calico
7 years,A662427,Cat,domestic shorthair,brown /white,Polly,Euthanasia,Spayed Female,Female,Yes,7,Cat,2006,3,10,True,tabby
4 years,A687604,Cat,domestic shorthair,black,,Euthanasia,Intact Male,Male,No,4,Cat,2010,9,9,True,
6 months,A687203,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,6,Cat,2014,3,9,True,calico
2 months,A665424,Cat,domestic shorthair,black,Khaleesi,Adoption,Intact Female,Female,No,2,Kitten,2013,8,11,True,
2 years,A693806,Cat,siamese,blue,Sofia,Return to Owner,Spayed Female,Female,Yes,2,Cat,2012,12,12,False,point
3 months,A664065,Cat,domestic shorthair,,*Snickers,Adoption,Spayed Female,Female,Yes,3,Kitten,2013,6,10,True,calico
2 months,A665469,Cat,domestic shorthair,white/blue,*Meek,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,9,12,True,
7 years,A676955,Cat,siamese,seal,Raz,Adoption,Neutered Male,Male,Yes,7,Cat,2007,4,7,False,point
3 weeks,A678531,Cat,domestic mediumhair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2014,4,5,True,
3 months,A684570,Cat,domestic mediumhair,blue,Blue,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,6,10,True,
2 years,A674203,Cat,domestic mediumhair,,*Fluff,Transfer,Spayed Female,Female,Yes,2,Cat,2012,3,3,True,tortie
2 months,A684513,Cat,domestic shorthair,black,Django,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,
8 years,A685421,Cat,domestic shorthair,,,Euthanasia,Spayed Female,Female,Yes,8,Cat,2006,8,8,True,calico
15 years,A684370,Cat,domestic shorthair,brown,,Euthanasia,Unknown,Female,Yes,15,Cat,1999,7,7,True,tabby
4 weeks,A677470,Cat,domestic shorthair,brown,*Rosemary,Transfer,Intact Female,Female,No,4,Kitten,2014,3,4,True,tabby
1 year,A630752,Cat,domestic shorthair,blue/white,Marfa,Transfer,Spayed Female,Female,Yes,1,Cat,2012,4,3,True,
3 months,A680043,Cat,domestic shorthair,brown,*Alex,Transfer,Intact Male,Male,No,3,Kitten,2014,4,7,True,tabby
3 months,A676731,Cat,domestic shorthair,brown,Iago,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
1 year,A672199,Cat,domestic shorthair,orange,,Transfer,Intact Female,Female,No,1,Cat,2013,2,2,True,tabby
2 weeks,A685254,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,2,Kitten,2014,7,8,True,
2 months,A689418,Cat,domestic shorthair,black/white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,10,True,
5 months,A666123,Cat,siamese,lynx,Zeus,Adoption,Neutered Male,Male,Yes,5,Kitten,2013,5,10,False,point
2 years,A682640,Cat,siamese,lynx,Lulu,Adoption,Spayed Female,Female,Yes,2,Cat,2012,6,7,False,point
1 week,A673037,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,1,Kitten,2014,2,2,True,tabby
5 months,A668660,Cat,domestic shorthair,black,*Dasher,Adoption,Neutered Male,Male,Yes,5,Kitten,2013,10,3,True,
3 months,A691396,Cat,domestic shorthair,white/black,,Transfer,Unknown,Female,Yes,3,Kitten,2014,8,11,True,
2 years,A691023,Cat,domestic shorthair,black/white,,Transfer,Neutered Male,Male,Yes,2,Cat,2012,10,10,True,
1 month,A666832,Cat,domestic shorthair,black/white,*Charlie,Euthanasia,Intact Male,Male,No,1,Kitten,2013,9,11,True,
3 months,A666198,Cat,domestic shorthair,,*Sugar,Transfer,Spayed Female,Female,Yes,3,Kitten,2013,9,12,True,tortie
2 months,A680851,Cat,domestic shorthair,orange,*Arthur,Transfer,Intact Male,Male,No,2,Kitten,2014,3,6,True,tabby
2 months,A679322,Cat,maine coon,brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,3,5,False,tabby
6 months,A663619,Cat,domestic shorthair,black/white,*Cinder,Adoption,Spayed Female,Female,Yes,6,Cat,2013,6,1,True,
2 months,A684355,Cat,domestic shorthair,orange,Jerry,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
2 months,A682398,Cat,domestic shorthair,black/white,*Ghost,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,5,8,True,
3 months,A682431,Cat,domestic shorthair,gray,,Euthanasia,Unknown,Female,Yes,3,Kitten,2014,2,6,True,tabby
2 months,A683668,Cat,domestic shorthair,blue /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
2 months,A680345,Cat,domestic shorthair,,*Rainy,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,tortie
1 month,A678504,Cat,domestic shorthair,brown /white,*Venus,Transfer,Intact Female,Female,No,1,Kitten,2014,3,5,True,tabby
6 months,A686389,Cat,domestic shorthair,chocolate,Bam Bam,Transfer,Neutered Male,Male,Yes,6,Cat,2014,2,9,True,
3 years,A634608,Cat,domestic shorthair,blue,Silver,Transfer,Neutered Male,Male,Yes,3,Cat,2010,8,12,True,tabby
3 months,A678269,Cat,domestic shorthair,orange,,Adoption,Neutered Male,Male,Yes,3,Kitten,2014,4,7,True,tabby
7 months,A692783,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,7,Cat,2014,4,11,True,torbie
1 year,A672570,Cat,domestic shorthair,,,Euthanasia,Intact Female,Female,No,1,Cat,2013,2,2,True,tortie
1 weeks,A687937,Cat,domestic shorthair,blue/white,,Transfer,Intact Male,Male,No,1,Kitten,2014,9,9,True,
2 months,A687072,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,10,True,torbie
3 weeks,A691312,Cat,domestic mediumhair,white/brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,10,11,True,tabby
3 months,A691062,Cat,domestic shorthair,white/black,Tiny,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,7,11,True,
2 years,A689894,Cat,domestic shorthair,black/white,Lovett,Transfer,Intact Male,Male,No,2,Cat,2012,10,10,True,
2 months,A679852,Cat,domestic shorthair,black/white,,Transfer,Neutered Male,Male,Yes,2,Kitten,2014,3,6,True,
3 weeks,A687832,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,9,True,tabby
1 year,A688432,Cat,domestic mediumhair,cream,,Transfer,Intact Male,Male,No,1,Cat,2013,9,9,True,tabby
7 months,A673890,Cat,domestic shorthair,blue/white,,Transfer,Unknown,Female,Yes,7,Cat,2013,7,3,True,
2 months,A676791,Cat,domestic shorthair,black/white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,3,5,True,
12 years,A693936,Cat,siamese,lilac,Baby,Transfer,Intact Female,Female,No,12,Cat,2002,12,12,False,point
9 months,A655398,Cat,domestic shorthair,black,Onyx,Adoption,Neutered Male,Male,Yes,9,Cat,2013,4,2,True,
5 years,A688192,Cat,ragdoll,blue,Roti/Haji,Return to Owner,Neutered Male,Male,Yes,5,Cat,2009,9,9,False,point
15 years,A642415,Cat,domestic shorthair,black,Other,Return to Owner,Spayed Female,Female,Yes,15,Cat,1998,11,6,True,
1 year,A679314,Cat,domestic shorthair,orange,,Transfer,Intact Female,Female,No,1,Cat,2013,5,5,True,tabby
4 months,A683114,Cat,domestic shorthair,white/orange,French Fry,Transfer,Neutered Male,Male,Yes,4,Kitten,2014,4,8,True,tabby
9 years,A663919,Cat,domestic shorthair,white/orange,Tiger,Adoption,Neutered Male,Male,Yes,9,Cat,2004,9,10,True,tabby
4 months,A661842,Cat,domestic shorthair,black,*Hammy,Adoption,Neutered Male,Male,Yes,4,Kitten,2013,7,12,True,
1 month,A684538,Cat,domestic shorthair,black,Tui,Adoption,Neutered Male,Male,Yes,1,Kitten,2014,6,8,True,smoke
3 months,A689586,Cat,domestic shorthair,blue /white,Clio,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,7,10,True,tabby
4 months,A664726,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,4,Kitten,2013,6,10,True,
2 months,A686463,Cat,siamese,lynx,*Mia,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,9,False,point
1 year,A681494,Cat,domestic shorthair,brown /white,,Transfer,Spayed Female,Female,Yes,1,Cat,2013,6,6,True,tabby
8 months,A676951,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,8,Cat,2013,8,4,True,
2 months,A666329,Cat,domestic shorthair,brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2013,8,11,True,tabby
3 weeks,A684492,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2014,7,7,True,torbie
1 month,A683907,Cat,domestic shorthair,black,Smokey,Transfer,Intact Female,Female,No,1,Kitten,2014,5,7,True,smoke
4 weeks,A678119,Cat,domestic shorthair,blue/white,,Transfer,Intact Male,Male,No,4,Kitten,2014,4,5,True,
1 year,A672660,Cat,siamese,lynx,*Baby,Transfer,Spayed Female,Female,Yes,1,Cat,2013,2,3,False,point
3 weeks,A680243,Cat,domestic shorthair,brown,*Eowyn,Transfer,Intact Female,Female,No,3,Kitten,2014,5,6,True,tabby
2 months,A685108,Cat,domestic shorthair,orange /white,*Tommy,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,9,True,tabby
2 weeks,A678021,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2014,4,5,True,tabby
2 months,A691203,Cat,domestic shorthair,white/blue,Flicka,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,8,11,True,
3 weeks,A687029,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,8,True,tabby
1 year,A679434,Cat,snowshoe,seal,,Transfer,Intact Male,Male,No,1,Cat,2013,5,5,True,point
1 month,A682559,Cat,snowshoe,blue,,Transfer,Intact Male,Male,No,1,Kitten,2014,5,6,True,point
2 years,A688816,Cat,domestic shorthair,blue/white,,Return to Owner,Neutered Male,Male,Yes,2,Cat,2012,9,9,True,
2 months,A680460,Cat,domestic shorthair,brown /white,*Nod,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,tabby
6 years,A672674,Cat,maine coon,brown tiger,*Tigress,Transfer,Spayed Female,Female,Yes,6,Cat,2008,2,2,False,
2 years,A674210,Cat,domestic shorthair,black,,Euthanasia,Intact Male,Male,No,2,Cat,2012,3,3,True,
2 months,A689415,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,10,True,
8 months,A666728,Cat,domestic shorthair,brown /white,Diamond,Adoption,Spayed Female,Female,Yes,8,Cat,2013,6,2,True,tabby
2 years,A671064,Cat,domestic mediumhair,black,*Marie,Adoption,Spayed Female,Female,Yes,2,Cat,2012,1,6,True,
1 month,A687608,Cat,domestic shorthair,,,Euthanasia,Intact Female,Female,No,1,Kitten,2014,7,9,True,tortie
1 month,A690836,Cat,domestic shorthair,black/white,Cherry,Adoption,Spayed Female,Female,Yes,1,Kitten,2014,10,12,True,
3 years,A689316,Cat,domestic shorthair,black,*Willie,Adoption,Neutered Male,Male,Yes,3,Cat,2011,10,10,True,
2 months,A688969,Cat,domestic shorthair,blue,Asher,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,9,11,True,tabby
8 months,A655547,Cat,domestic shorthair,brown,Steve,Adoption,Neutered Male,Male,Yes,8,Cat,2013,4,1,True,tabby
2 months,A680343,Cat,domestic shorthair,black,*Riley,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,6,True,
1 year,A683203,Cat,domestic shorthair,cream /white,Art,Transfer,Intact Male,Male,No,1,Cat,2013,7,8,True,tabby
8 years,A681794,Cat,domestic shorthair,brown /white,Mancat,Transfer,Neutered Male,Male,Yes,8,Cat,2006,6,7,True,tabby
1 year,A677303,Cat,domestic shorthair,blue/white,,Transfer,Intact Female,Female,No,1,Cat,2013,4,4,True,
2 years,A667859,Cat,domestic shorthair,cream,,Transfer,Intact Male,Male,No,2,Cat,2011,11,11,True,tabby
2 years,A683231,Cat,domestic shorthair,orange /white,X,Transfer,Intact Male,Male,No,2,Cat,2012,7,7,True,tabby
2 weeks,A685522,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Kitten,2014,7,8,True,calico
3 years,A673836,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Cat,2011,3,3,True,tabby
4 days,A686621,Cat,domestic shorthair,black/white,,Transfer,Intact Female,Female,No,4,Kitten,2014,8,8,True,
2 months,A681475,Cat,domestic shorthair,white/orange,Oreo,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
10 months,A678523,Cat,domestic shorthair,,*Rainbow,Transfer,Intact Female,Female,No,10,Cat,2013,7,5,True,calico
3 months,A664953,Cat,domestic shorthair,black/white,*Figgy,Died,Intact Female,Female,No,3,Kitten,2013,9,12,True,
1 year,A683228,Cat,domestic shorthair,blue /white,*Zoe,Transfer,Spayed Female,Female,Yes,1,Cat,2013,7,8,True,tabby
2 years,A680434,Cat,domestic shorthair,brown /white,Buster,Adoption,Neutered Male,Male,Yes,2,Cat,2012,6,6,True,tabby
6 months,A686136,Cat,domestic shorthair,cream,*Bashful,Adoption,Spayed Female,Female,Yes,6,Cat,2014,3,9,True,tabby
2 days,A682492,Cat,domestic shorthair,brown/white,,Transfer,Unknown,Female,Yes,2,Kitten,2014,6,6,True,
1 week,A678790,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,1,Kitten,2014,5,5,True,
2 years,A671523,Cat,domestic longhair,black/white,,Transfer,Unknown,Female,Yes,2,Cat,2012,1,1,True,
3 years,A630443,Cat,domestic shorthair,,Chadwyck,Transfer,Spayed Female,Female,Yes,3,Cat,2010,6,5,True,calico
6 years,A691947,Cat,balinese,lynx,Lily,Adoption,Spayed Female,Female,Yes,6,Cat,2008,11,11,False,point
1 year,A667388,Cat,domestic longhair,brown /white,*Veruca,Transfer,Intact Female,Female,No,1,Cat,2012,11,11,True,tabby
2 months,A681905,Cat,domestic mediumhair,black/white,Lilly,Adoption,Intact Female,Female,No,2,Kitten,2014,5,7,True,
6 months,A673443,Cat,tonkinese,chocolate,*Bonnie,Adoption,Spayed Female,Female,Yes,6,Cat,2013,8,3,False,point
9 months,A674565,Cat,domestic shorthair,orange,Toast,Transfer,Neutered Male,Male,Yes,9,Cat,2013,6,3,True,tabby
2 years,A680323,Cat,domestic shorthair,white/brown,,Transfer,Intact Female,Female,No,2,Cat,2012,6,6,True,tabby
4 months,A685242,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,4,Kitten,2014,4,8,True,tortie
6 months,A652606,Cat,domestic shorthair,black/white,*Tux,Adoption,Neutered Male,Male,Yes,6,Cat,2013,3,10,True,
2 months,A686699,Cat,domestic shorthair,brown,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,6,8,True,tabby
2 months,A667016,Cat,domestic shorthair,white/brown,*Casper,Transfer,Neutered Male,Male,Yes,2,Kitten,2013,9,12,True,tabby
2 months,A679834,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,3,5,True,torbie
1 year,A679522,Cat,domestic shorthair,white/black,,Transfer,Unknown,Female,Yes,1,Cat,2013,5,5,True,
2 weeks,A677538,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Kitten,2014,4,4,True,calico
2 months,A688706,Cat,domestic shorthair,black/white,June,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,7,9,True,
8 years,A693872,Cat,domestic shorthair,black/white,,Euthanasia,Intact Male,Male,No,8,Cat,2006,12,12,True,
4 years,A679181,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,4,Cat,2010,5,5,True,
2 months,A680469,Cat,domestic longhair,brown /white,*Fluff,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,5,7,True,tabby
2 months,A680971,Cat,domestic shorthair,orange /white,Tigger,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
1 year,A667398,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Cat,2012,5,11,True,tortie
1 year,A672107,Cat,domestic mediumhair,white/cream,Puff,Adoption,Neutered Male,Male,Yes,1,Cat,2013,2,5,True,tabby
5 months,A681029,Cat,domestic shorthair,cream /white,Tipi,Transfer,Neutered Male,Male,Yes,5,Kitten,2014,1,6,True,tabby
1 year,A685286,Cat,domestic shorthair,black,,Euthanasia,Intact Female,Female,No,1,Cat,2013,8,8,True,
6 years,A689567,Cat,domestic shorthair,black,Chloe,Transfer,Spayed Female,Female,Yes,6,Cat,2008,10,10,True,
4 weeks,A684343,Cat,snowshoe,seal,Clementine,Transfer,Intact Female,Female,No,4,Kitten,2014,6,7,True,point
1 month,A679326,Cat,siamese,lynx,Mason,Transfer,Intact Male,Male,No,1,Kitten,2014,3,5,False,point
3 weeks,A676619,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,3,Kitten,2014,3,4,True,tortie
1 month,A688458,Cat,domestic shorthair,brown,Charlie,Adoption,Intact Female,Female,No,1,Kitten,2014,8,10,True,tabby
2 years,A674096,Cat,domestic shorthair,gray,,Euthanasia,Intact Male,Male,No,2,Cat,2012,3,3,True,tabby
1 month,A680104,Cat,domestic shorthair,brown,*Aj,Transfer,Unknown,Female,Yes,1,Kitten,2014,4,6,True,tabby
1 month,A678663,Cat,domestic shorthair,gray,,Euthanasia,Intact Female,Female,No,1,Kitten,2014,3,5,True,tabby
1 year,A673396,Cat,domestic longhair,blue/white,,Transfer,Intact Male,Male,No,1,Cat,2013,2,2,True,
4 months,A684612,Cat,domestic shorthair,black,Miller,Adoption,Neutered Male,Male,Yes,4,Kitten,2014,5,10,True,
1 month,A680719,Cat,domestic mediumhair,black,,Transfer,Intact Male,Male,No,1,Kitten,2014,4,6,True,
2 months,A680669,Cat,domestic shorthair,blue,Rosa,Transfer,Intact Female,Female,No,2,Kitten,2014,3,6,True,tabby
2 months,A681956,Cat,domestic mediumhair,brown,Fence,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,4,7,True,tabby
4 months,A679211,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,4,Kitten,2014,5,9,True,tortie
4 weeks,A677708,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,4,Kitten,2014,3,4,True,
1 month,A684822,Cat,domestic shorthair,black/white,*Carol,Transfer,Intact Female,Female,No,1,Kitten,2014,6,8,True,
4 months,A672721,Cat,siamese,lilac,,Adoption,Spayed Female,Female,Yes,4,Kitten,2013,10,2,False,point
2 months,A662738,Cat,domestic shorthair,black/white,*Toby,Transfer,Neutered Male,Male,Yes,2,Kitten,2013,8,10,True,
9 months,A693557,Cat,balinese,seal,Jade,Adoption,Intact Female,Female,No,9,Cat,2014,2,12,False,point
2 years,A676765,Cat,domestic shorthair,black,*Newton,Transfer,Neutered Male,Male,Yes,2,Cat,2012,4,4,True,
1 year,A689198,Cat,domestic shorthair,/white,Kit Kat,Adoption,Spayed Female,Female,Yes,1,Cat,2013,3,10,True,torbie
2 months,A684033,Cat,domestic shorthair,,*Juliet,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,6,8,True,tortie
4 months,A683663,Cat,domestic shorthair,white/orange,,Transfer,Intact Female,Female,No,4,Kitten,2014,2,7,True,tabby
2 months,A666303,Cat,domestic shorthair,brown /black,*Monty,Transfer,Neutered Male,Male,Yes,2,Kitten,2013,9,12,True,tabby
1 year,A684424,Cat,domestic shorthair,black,Midnight,Transfer,Intact Female,Female,No,1,Cat,2013,7,7,True,
3 weeks,A684493,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2014,7,7,True,tabby
2 months,A681611,Cat,domestic shorthair,orange,,Euthanasia,Intact Male,Male,No,2,Kitten,2014,3,6,True,tabby
2 years,A670294,Cat,domestic mediumhair,orange,*Melvin,Transfer,Intact Male,Male,No,2,Cat,2012,1,1,True,tabby
1 month,A680534,Cat,domestic shorthair,blue,*Cooper,Adoption,Intact Male,Male,No,1,Kitten,2014,5,7,True,tabby
3 weeks,A679637,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,5,5,True,tabby
2 months,A681517,Cat,domestic shorthair,white/brown,Keeton,Adoption,Intact Male,Male,No,2,Kitten,2014,4,7,True,tabby
1 month,A664794,Cat,domestic shorthair,white/orange,,Euthanasia,Intact Male,Male,No,1,Kitten,2013,8,10,True,tabby
2 weeks,A687642,Cat,domestic shorthair,blue /white,,Transfer,Intact Male,Male,No,2,Kitten,2014,8,9,True,tabby
4 weeks,A690362,Cat,domestic shorthair,brown,*Lynette,Transfer,Intact Female,Female,No,4,Kitten,2014,9,10,True,tabby
2 months,A663324,Cat,domestic shorthair,,*Minnie,Euthanasia,Spayed Female,Female,Yes,2,Kitten,2013,8,10,True,torbie
2 months,A686162,Cat,domestic mediumhair,brown /white,River,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,6,8,True,tabby
3 months,A659615,Cat,domestic shorthair,blue,*Alexander,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,7,10,True,
3 months,A663550,Cat,domestic shorthair,cream,Gus,Adoption,Neutered Male,Male,Yes,3,Kitten,2013,7,10,True,tabby
3 months,A693220,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2014,9,12,True,tabby
2 months,A667407,Cat,domestic shorthair,blue/white,Jingles,Adoption,Spayed Female,Female,Yes,2,Kitten,2013,10,12,True,
4 months,A679921,Cat,russian blue,blue,Smokey,Return to Owner,Neutered Male,Male,Yes,4,Kitten,2014,4,8,False,
2 months,A677572,Cat,domestic shorthair,cream,*Butter,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,3,6,True,tabby
4 years,A689921,Cat,domestic mediumhair,black/white,*Thomas,Transfer,Neutered Male,Male,Yes,4,Cat,2010,10,10,True,
1 year,A668869,Cat,domestic shorthair,silver,Mike,Return to Owner,Neutered Male,Male,Yes,1,Cat,2012,12,12,True,tabby
2 weeks,A676238,Cat,domestic shorthair,blue,,Transfer,Intact Female,Female,No,2,Kitten,2014,3,4,True,tabby
2 months,A682024,Cat,domestic shorthair,black,Bruce Wayne,Adoption,Intact Male,Male,No,2,Kitten,2014,5,7,True,
2 years,A680194,Cat,domestic shorthair,brown /white,Kitty,Transfer,Neutered Male,Male,Yes,2,Cat,2012,5,7,True,tabby
2 months,A688568,Cat,domestic shorthair,blue,*Lucas,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,7,9,True,tabby
